dcid,sentence
Annual_Amount_Emissions_Fluorane_SCC_4_PetroleumAndSolventEvaporation,amount of fluorane emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Fluorane_SCC_5_WasteDisposal,amount of fluorane emissions from waste disposal
Annual_Amount_Emissions_Formaldehyde_SCC_1_ExternalCombustion,amount of formaldehyde emissions from external combustion
Annual_Amount_Emissions_Formaldehyde_SCC_2_InternalCombustionEngines,amount of formaldehyde emissions from internal combustion engines
Annual_Amount_Emissions_Formaldehyde_SCC_21_StationarySourceFuelCombustion,amount of formaldehyde emissions from stationary source fuel combustion
Annual_Amount_Emissions_Formaldehyde_SCC_22_MobileSources,amount of formaldehyde emissions from mobile sources
Annual_Amount_Emissions_Formaldehyde_SCC_23_IndustrialProcesses,amount of formaldehyde emissions from industrial processes
Annual_Amount_Emissions_Formaldehyde_SCC_24_SolventUtilization,amount of formaldehyde emissions from solvent utilization
Annual_Amount_Emissions_Formaldehyde_SCC_26_WasteDisposalTreatmentAndRecovery,amount of formaldehyde emissions from waste disposal treatment and recovery
Annual_Amount_Emissions_Formaldehyde_SCC_27_NaturalSources,amount of formaldehyde emissions from natural sources
Annual_Amount_Emissions_Formaldehyde_SCC_28_MiscellaneousAreaSources,amount of formaldehyde emissions from miscellaneous area sources
Annual_Amount_Emissions_Formaldehyde_SCC_3_IndustrialProcesses,amount of formaldehyde emissions from industrial processes
Annual_Amount_Emissions_Formaldehyde_SCC_4_PetroleumAndSolventEvaporation,amount of formaldehyde emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Formaldehyde_SCC_5_WasteDisposal,amount of formaldehyde emissions from waste disposal
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_Ammonia,amount of ammonia emissions from industrial fuel combustion
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_CarbonMonoxide,amount of carbon monoxide emissions from industrial fuel combustion
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of oxides of nitrogen emissions from industrial fuel combustion
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from industrial fuel combustion
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from industrial fuel combustion
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_SulfurDioxide,amount of sulfur dioxide emissions from industrial fuel combustion
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of volatile organic compound emissions from industrial fuel combustion
Annual_Amount_Emissions_Hexane_SCC_1_ExternalCombustion,amount of hexane emissions from external combustion
Annual_Amount_Emissions_Hexane_SCC_2_InternalCombustionEngines,amount of hexane emissions from internal combustion engines
Annual_Amount_Emissions_Hexane_SCC_21_StationarySourceFuelCombustion,amount of hexane emissions from stationary source fuel combustion
Annual_Amount_Emissions_Hexane_SCC_22_MobileSources,amount of hexane emissions from mobile sources
Annual_Amount_Emissions_Hexane_SCC_23_IndustrialProcesses,amount of hexane emissions from industrial processes
Annual_Amount_Emissions_Hexane_SCC_24_SolventUtilization,amount of hexane emissions from solvent utilization
Annual_Amount_Emissions_Hexane_SCC_25_StorageAndTransport,amount of hexane emissions from storage and transport
Annual_Amount_Emissions_Hexane_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of hexane emissions from waste disposal, treatment and recovery"
Annual_Amount_Emissions_Hexane_SCC_28_MiscellaneousAreaSources,amount of hexane emissions from miscellaneous area sources
Annual_Amount_Emissions_Hexane_SCC_3_IndustrialProcesses,amount of hexane emissions from industrial processes
Annual_Amount_Emissions_Hexane_SCC_4_PetroleumAndSolventEvaporation,amount of hexane emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Hexane_SCC_5_WasteDisposal,amount of hexane emissions from waste disposal
Annual_Amount_Emissions_Lead_SCC_1_ExternalCombustion,amount of lead emissions from external combustion
Annual_Amount_Emissions_Lead_SCC_2_InternalCombustionEngines,amount of lead emissions from internal combustion engines
Annual_Amount_Emissions_Lead_SCC_21_StationarySourceFuelCombustion,amount of lead emissions from stationary source fuel combustion
Annual_Amount_Emissions_Lead_SCC_22_MobileSources,amount of lead emissions from mobile sources
Annual_Amount_Emissions_Lead_SCC_23_IndustrialProcesses,amount of lead emissions from industrial processes
Annual_Amount_Emissions_Lead_SCC_24_SolventUtilization,amount of lead emissions from solvent utilization
Annual_Amount_Emissions_Lead_SCC_25_StorageAndTransport,amount of lead emissions from storage and transport
Annual_Amount_Emissions_Lead_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of lead emissions from waste disposal, treatment and recovery"
Annual_Amount_Emissions_Lead_SCC_28_MiscellaneousAreaSources,amount of lead emissions from miscellaneous area sources
Annual_Amount_Emissions_Lead_SCC_3_IndustrialProcesses,amount of lead emissions from industrial processes
Annual_Amount_Emissions_Lead_SCC_4_PetroleumAndSolventEvaporation,amount of lead emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Lead_SCC_5_WasteDisposal,amount of lead emissions from waste disposal
Annual_Amount_Emissions_Manganese_SCC_1_ExternalCombustion,amount of manganese emissions from external combustion
Annual_Amount_Emissions_Manganese_SCC_2_InternalCombustionEngines,amount of manganese emissions from internal combustion engines
Annual_Amount_Emissions_Manganese_SCC_21_StationarySourceFuelCombustion,amount of manganese emissions from stationary source fuel combustion
Annual_Amount_Emissions_Manganese_SCC_22_MobileSources,amount of manganese emissions from mobile sources
Annual_Amount_Emissions_Manganese_SCC_23_IndustrialProcesses,amount of manganese emissions from industrial processes
Annual_Amount_Emissions_Manganese_SCC_24_SolventUtilization,amount of manganese emissions from solvent utilization
Annual_Amount_Emissions_Manganese_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of manganese emissions from waste disposal, treatment and recovery"
Annual_Amount_Emissions_Manganese_SCC_28_MiscellaneousAreaSources,amount of manganese emissions from miscellaneous area sources
Annual_Amount_Emissions_Manganese_SCC_3_IndustrialProcesses,amount of manganese emissions from industrial processes
Annual_Amount_Emissions_Manganese_SCC_4_PetroleumAndSolventEvaporation,amount of manganese emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Manganese_SCC_5_WasteDisposal,amount of manganese emissions from waste disposal
Annual_Amount_Emissions_Mercury_SCC_1_ExternalCombustion,amount of mercury emissions from external combustion
Annual_Amount_Emissions_Mercury_SCC_2_InternalCombustionEngines,amount of mercury emissions from internal combustion engines
Annual_Amount_Emissions_Mercury_SCC_21_StationarySourceFuelCombustion,amount of mercury emissions from stationary source fuel combustion
Annual_Amount_Emissions_Mercury_SCC_22_MobileSources,amount of mercury emissions from mobile sources
Annual_Amount_Emissions_Mercury_SCC_23_IndustrialProcesses,amount of mercury emissions from industrial processes
Annual_Amount_Emissions_Mercury_SCC_24_SolventUtilization,amount of mercury emissions from solvent utilization
Annual_Amount_Emissions_Mercury_SCC_25_StorageAndTransport,amount of mercury emissions from storage and transport
Annual_Amount_Emissions_Mercury_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of mercury emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Mercury_SCC_28_MiscellaneousAreaSources,amount of mercury emissions from miscellaneous area sources
Annual_Amount_Emissions_Mercury_SCC_3_IndustrialProcesses,amount of mercury emissions from industrial processes
Annual_Amount_Emissions_Mercury_SCC_4_PetroleumAndSolventEvaporation,amount of mercury emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Mercury_SCC_5_WasteDisposal,amount of mercury emissions from waste disposal
Annual_Amount_Emissions_MetalsProcessing_NonBiogenicEmissionSource_Ammonia,amount of ammonia emissions from metals processing
Annual_Amount_Emissions_MetalsProcessing_NonBiogenicEmissionSource_CarbonMonoxide,amount of carbon monoxide emissions from metals processing
Annual_Amount_Emissions_MetalsProcessing_NonBiogenicEmissionSource_OxidesOfNitrogen,amount of oxides of nitrogen emissions from metals processing
Annual_Amount_Emissions_MetalsProcessing_NonBiogenicEmissionSource_PM10,amount of PM10 emissions from metals processing
Annual_Amount_Emissions_MetalsProcessing_NonBiogenicEmissionSource_PM2.5,amount of PM2.5 emissions from metals processing
Annual_Amount_Emissions_MetalsProcessing_NonBiogenicEmissionSource_SulfurDioxide,amount of sulfur dioxide emissions from metals processing
Annual_Amount_Emissions_MetalsProcessing_NonBiogenicEmissionSource_VolatileOrganicCompound,amount of volatile organic compound emissions from metals processing
Annual_Amount_Emissions_Methane_SCC_1_ExternalCombustion,amount of methane emissions from external combustion
Annual_Amount_Emissions_Methane_SCC_2_InternalCombustionEngines,amount of methane emissions from internal combustion engines
Annual_Amount_Emissions_Methane_SCC_22_MobileSources,amount of methane emissions from mobile sources
Annual_Amount_Emissions_Methane_SCC_28_MiscellaneousAreaSources,amount of methane emissions from miscellaneous area sources
Annual_Amount_Emissions_Methane_SCC_3_IndustrialProcesses,amount of methane emissions from industrial processes
Annual_Amount_Emissions_Methane_SCC_4_PetroleumAndSolventEvaporation,amount of methane emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Methane_SCC_5_WasteDisposal,amount of methane emissions from waste disposal
Annual_Amount_Emissions_Methanol_SCC_1_ExternalCombustion,amount of methanol emissions from external combustion
Annual_Amount_Emissions_Methanol_SCC_2_InternalCombustionEngines,amount of methanol emissions from internal combustion engines
Annual_Amount_Emissions_Methanol_SCC_22_MobileSources,amount of methanol emissions from mobile sources
Annual_Amount_Emissions_Methanol_SCC_23_IndustrialProcesses,amount of methanol emissions from industrial processes
Annual_Amount_Emissions_Methanol_SCC_24_SolventUtilization,amount of methanol emissions from solvent utilization
Annual_Amount_Emissions_Methanol_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of methanol emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Methanol_SCC_27_NaturalSources,amount of methanol emissions from natural sources
Annual_Amount_Emissions_Methanol_SCC_28_MiscellaneousAreaSources,amount of methanol emissions from miscellaneous area sources
Annual_Amount_Emissions_Methanol_SCC_3_IndustrialProcesses,amount of methanol emissions from industrial processes
Annual_Amount_Emissions_Methanol_SCC_4_PetroleumAndSolventEvaporation,amount of methanol emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Methanol_SCC_5_WasteDisposal,amount of methanol emissions from waste disposal
Annual_Amount_Emissions_Naphthalene_SCC_1_ExternalCombustion,amount of naphthalene emissions from external combustion
Annual_Amount_Emissions_Naphthalene_SCC_2_InternalCombustionEngines,amount of naphthalene emissions from internal combustion engines
Annual_Amount_Emissions_Naphthalene_SCC_21_StationarySourceFuelCombustion,amount of naphthalene emissions from stationary source fuel combustion
Annual_Amount_Emissions_Naphthalene_SCC_22_MobileSources,amount of naphthalene emissions from mobile sources
Annual_Amount_Emissions_Naphthalene_SCC_23_IndustrialProcesses,amount of naphthalene emissions from industrial processes
Annual_Amount_Emissions_Naphthalene_SCC_24_SolventUtilization,amount of naphthalene emissions from solvent utilization
Annual_Amount_Emissions_Naphthalene_SCC_25_StorageAndTransport,amount of naphthalene emissions from storage and transport
Annual_Amount_Emissions_Naphthalene_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of naphthalene emissions from waste disposal, treatment, and recovery"
Annual_Amount_Emissions_Naphthalene_SCC_28_MiscellaneousAreaSources,amount of naphthalene emissions from miscellaneous area sources
Annual_Amount_Emissions_Naphthalene_SCC_3_IndustrialProcesses,amount of naphthalene emissions from industrial processes
Annual_Amount_Emissions_Naphthalene_SCC_4_PetroleumAndSolventEvaporation,amount of naphthalene emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Naphthalene_SCC_5_WasteDisposal,amount of naphthalene emissions from waste disposal
Annual_Amount_Emissions_NaturalResource_BiogenicEmissionSource_CarbonMonoxide,amount of Carbon Monoxide emissions from NaturalResource with biogenic emissions
Annual_Amount_Emissions_NaturalResource_BiogenicEmissionSource_OxidesOfNitrogen,amount of Oxides Of Nitrogen emissions from NaturalResource with biogenic emissions
Annual_Amount_Emissions_NaturalResource_BiogenicEmissionSource_VolatileOrganicCompound,amount of VolatileOrganicCompound emissions from NaturalResource with biogenic emissions
Annual_Amount_Emissions_Nickel_SCC_1_ExternalCombustion,amount of Nickel emissions from external combustion
Annual_Amount_Emissions_Nickel_SCC_2_InternalCombustionEngines,amount of Nickel emissions from internal combustion engines
Annual_Amount_Emissions_Nickel_SCC_21_StationarySourceFuelCombustion,amount of Nickel emissions from stationary source fuel combustion
Annual_Amount_Emissions_Nickel_SCC_22_MobileSources,amount of Nickel emissions from mobile sources
Annual_Amount_Emissions_Nickel_SCC_23_IndustrialProcesses,amount of Nickel emissions from industrial processes
Annual_Amount_Emissions_Nickel_SCC_24_SolventUtilization,amount of Nickel emissions from solvent utilization
Annual_Amount_Emissions_Nickel_SCC_26_WasteDisposalTreatmentAndRecovery,"Annual amount of Nickel emissions from waste disposal, treatment and recovery"
Annual_Amount_Emissions_Nickel_SCC_28_MiscellaneousAreaSources,amount of Nickel emissions from miscellaneous area sources
Annual_Amount_Emissions_Nickel_SCC_3_IndustrialProcesses,amount of Nickel emissions from industrial processes
Annual_Amount_Emissions_Nickel_SCC_4_PetroleumAndSolventEvaporation,amount of Nickel emissions from petroleum and solvent evaporation
Annual_Amount_Emissions_Nickel_SCC_5_WasteDisposal,amount of Nickel emissions from waste disposal
Annual_Amount_Emissions_NitrousOxide_SCC_1_ExternalCombustion,amount of NitrousOxide emissions from external combustion
Annual_Amount_Emissions_NitrousOxide_SCC_2_InternalCombustionEngines,amount of NitrousOxide emissions from internal combustion engines
Annual_Amount_Emissions_NitrousOxide_SCC_22_MobileSources,amount of NitrousOxide emissions from mobile sources
Annual_Amount_Emissions_NitrousOxide_SCC_3_IndustrialProcesses,amount of NitrousOxide emissions from industrial processes
